Tareas;Start;Duración;Producto;Resource
Preparación de contenido para la capacitación;1/4/2021;90;<br> 30 de  <br> Julio;B
Capacitación a miembros del CTSP;1/9/2021;5;<br> 1 de  <br> Septiembre;A
Capacitación a miembros del GEFR;1/10/2021;5;<br> 1 de  <br> Octubre;A
Preparación I reunión GEFR;1/9/2021;14;Informe  <br> al segundo  <br>  trimestre;C
