Tareas;Start;Duración;Producto;Resource
Preparación de un formato de reportería;1/4/2021;30;<br> 30 de  <br> Abril;B
Compilación de reportería Q2;1/7/2021;30; <br> ENTREGA <br> 30 DE Julio;A
Compilación de reportería Q3;1/10/2021;31; <br> ENTREGA <br> 29 DE Octubre;A
Compilación de reportería Q4;1/1/2022;30; <br> ENTREGA <br> 28 DE Enero;A
Preparación I reunión GEFR;1/2/2022;14;Informe  <br> al segundo  <br>  trimestre;C
