Tareas;Start;Duración;Producto;Resource
Definición de contenido;1/4/2021;180;<br> 29 de  <br> Octubre;B
Capacitación ;1/11/2021;5;<br> 5 de  <br> Noviembre;A
Preparación I reunión GEFR;1/2/2022;14;Informe  <br> al segundo  <br>  trimestre;C
